date,first,peak_load(MW),second,third
20180420,31370,29380,1990,6.77
20180421,28822,26962,1860,6.9
20180422,27981,26356,1625,6.17
20180423,33016,31487,1529,4.86
20180424,32818,31110,1708,5.49
20180425,31619,29570,2049,6.93
20180426,32008,29944,2064,6.89
20180427,32443,30356,2087,6.87
20180428,28710,26835,1875,6.99
20180429,27862,26074,1788,6.85
20180430,32159,30086,2073,6.89
20180501,30453,28665,1788,6.24
20180502,33931,32351,1580,4.88
20180503,32791,30659,2132,6.95
20180504,32728,30638,2090,6.82
20180505,29339,27477,1862,6.78
20180506,29436,27517,1919,6.97
20180507,34568,32762,1806,5.51
20180508,33882,31729,2153,6.78
20180509,32204,30104,2100,6.98
20180510,32262,30174,2088,6.92
20180511,32825,30735,2090,6.8
20180512,29347,27439,1908,6.95
20180513,28978,27088,1890,6.98
20180514,34906,32914,1992,6.05
20180515,35241,33518,1723,5.14
20180516,35790,34235,1555,4.54
20180517,36456,34692,1764,5.09
20180518,36837,35061,1776,5.07
20180519,32699,30567,2132,6.97
20180520,31435,29607,1828,6.17
20180521,36100,34269,1831,5.34
20180522,36648,34776,1872,5.38
20180523,36398,34892,1506,4.32
20180524,36459,34099,2360,6.92
20180525,36982,35023,1959,5.6
20180526,32536,30416,2120,6.97
20180527,32107,30287,1820,6.01
20180528,37298,36007,1291,3.59
20180529,37378,36329,1049,2.89
20180530,38003,36771,1232,3.35
20180531,38144,36713,1431,3.9
20180601,35895,33549,2346,6.99
20180602,30991,29031,1960,6.75
20180603,30428,28480,1948,6.84
20180604,36878,34478,2400,6.96
20180605,37569,35302,2267,6.42
20180606,37988,35802,2186,6.11
20180607,38050,35702,2348,6.58
20180608,38280,36102,2178,6.03
20180609,33692,31775,1917,6.03
20180610,31637,29798,1839,6.17
20180611,35126,32557,2569,7.89
20180612,35695,33517,2178,6.5
20180613,36145,34034,2111,6.2
20180614,35928,33737,2191,6.49
20180615,33730,31614,2116,6.69
20180616,30530,28619,1911,6.67
20180617,29158,27261,1897,6.96
20180618,29891,27948,1943,6.95
20180619,34613,32063,2550,7.95
20180620,34490,32244,2246,6.97
20180621,35351,33176,2175,6.56
20180622,36070,33748,2322,6.88
20180623,32242,30175,2067,6.85
20180624,31104,29174,1930,6.62
20180625,37390,35108,2282,6.5
20180626,37704,35259,2445,6.93
20180627,37537,35122,2415,6.88
20180628,37792,35448,2344,6.61
20180629,37395,34966,2429,6.95
20180630,32528,30484,2044,6.71
20180701,31002,29016,1986,6.85
20180702,35536,33151,2385,7.19
20180703,36355,34138,2217,6.49
20180704,36038,33744,2294,6.8
20180705,35454,33157,2297,6.93
20180706,36567,34306,2261,6.59
20180707,32483,30399,2084,6.86
20180708,30851,28916,1935,6.69
20180709,37243,34951,2292,6.56
20180710,37012,34753,2259,6.5
20180711,33349,31203,2146,6.88
20180712,36617,34408,2209,6.42
20180713,37207,34990,2217,6.34
20180714,33571,31279,2292,7.33
20180715,32283,29296,2987,10.19
20180716,37947,35178,2769,7.87
20180717,38713,36200,2513,6.94
20180718,38820,36460,2360,6.47
20180719,39052,36705,2347,6.39
20180720,38082,35740,2342,6.55
20180721,34258,31327,2931,9.36
20180722,32005,29333,2672,9.11
20180723,37187,34239,2948,8.61
20180724,38268,35976,2292,6.37
20180725,38300,35901,2399,6.68
20180726,38102,35806,2296,6.41
20180727,38118,35675,2443,6.85
20180728,33880,31376,2504,7.98
20180729,32696,30623,2073,6.77
20180730,38704,36318,2386,6.57
20180731,39262,36906,2356,6.38
20180801,39656,37351,2305,6.17
20180802,38579,36122,2457,6.8
20180803,38545,36116,2429,6.73
20180804,34993,31905,3088,9.68
20180805,33216,29660,3556,11.99
20180806,38502,36089,2413,6.69
20180807,38606,36132,2474,6.85
20180808,38683,36191,2492,6.89
20180809,38344,35872,2472,6.89
20180810,38376,36020,2356,6.54
20180811,35048,31721,3327,10.49
20180812,32669,30095,2574,8.55
20180813,37137,34739,2398,6.9
20180814,37179,34827,2352,6.75
20180815,36428,33954,2474,7.29
20180816,36643,34368,2275,6.62
20180817,37448,35182,2266,6.44
20180818,33763,30087,3676,12.22
20180819,31689,28654,3035,10.59
20180820,36747,34375,2372,6.9
20180821,36897,34675,2222,6.41
20180822,37148,34783,2365,6.8
20180823,36905,34745,2160,6.22
20180824,34004,30158,3846,12.75
20180825,32454,29174,3280,11.24
20180826,31095,28097,2998,10.67
20180827,36171,32329,3842,11.88
20180828,35990,31922,4068,12.74
20180829,35636,32109,3527,10.98
20180830,36284,31886,4398,13.79
20180831,36340,32264,4076,12.63
20180901,33138,28928,4210,14.55
20180902,31238,28176,3062,10.87
20180903,36670,33843,2827,8.36
20180904,37448,35163,2285,6.5
20180905,37512,35238,2274,6.45
20180906,37273,34890,2383,6.83
20180907,36905,34524,2381,6.9
20180908,32633,29661,2972,10.02
20180909,30523,26810,3713,13.85
20180910,35212,31645,3567,11.27
20180911,36386,33276,3110,9.35
20180912,36431,34117,2314,6.78
20180913,36902,34521,2381,6.9
20180914,36939,34631,2308,6.66
20180915,32429,29281,3148,10.75
20180916,31957,28947,3010,10.4
20180917,37448,35098,2350,6.7
20180918,37731,35327,2404,6.8
20180919,37394,34991,2403,6.87
20180920,37276,35019,2257,6.44
20180921,37296,34892,2404,6.89
20180922,32841,30272,2569,8.49
20180923,30594,27876,2718,9.75
20180924,30592,27223,3369,12.38
20180925,36686,32749,3937,12.02
20180926,35834,31949,3885,12.16
20180927,36176,31946,4230,13.24
20180928,35567,31510,4057,12.88
20180929,30986,26812,4174,15.57
20180930,29571,25505,4066,15.94
20181001,33805,30707,3098,10.09
20181002,34108,30992,3116,10.05
20181003,33579,30579,3000,9.81
20181004,33134,29852,3282,10.99
20181005,32771,30375,2396,7.89
20181006,29802,27097,2705,9.98
20181007,28580,25871,2709,10.47
20181008,33848,30873,2975,9.64
20181009,34236,31288,2948,9.42
20181010,30005,27562,2443,8.86
20181011,33013,29875,3138,10.5
20181012,32928,29172,3756,12.88
20181013,29462,26162,3300,12.62
20181014,28187,25687,2500,9.73
20181015,33621,30538,3083,10.09
20181016,33855,31462,2393,7.6
20181017,32748,30079,2669,8.87
20181018,32871,30097,2774,9.22
20181019,32840,29952,2888,9.64
20181020,29354,26206,3148,12.01
20181021,28143,25377,2766,10.9
20181022,32588,30240,2348,7.77
20181023,32530,30450,2080,6.83
20181024,32800,30549,2251,7.37
20181025,33145,31029,2116,6.82
20181026,33166,31014,2152,6.94
20181027,28843,25586,3257,12.73
20181028,27404,24289,3115,12.83
20181029,31551,28439,3112,10.94
20181030,31630,29073,2557,8.8
20181031,31822,29060,2762,9.51
20181101,31141,28605,2536,8.87
20181102,31246,28905,2341,8.1
20181103,28411,26486,1925,7.27
20181104,27519,25391,2128,8.38
20181105,31977,29866,2111,7.07
20181106,32894,30772,2122,6.9
20181107,32912,30941,1971,6.37
20181108,33332,31419,1913,6.09
20181109,32402,30295,2107,6.96
20181110,28820,26927,1893,7.03
20181111,28100,25556,2544,9.95
20181112,32053,29963,2090,6.98
20181113,31552,29512,2040,6.91
20181114,31446,29437,2009,6.83
20181115,31899,29920,1979,6.61
20181116,32064,29969,2095,6.99
20181117,28499,26630,1869,7.02
20181118,27488,25682,1806,7.03
20181119,31121,29184,1937,6.64
20181120,31650,29730,1920,6.46
20181121,31958,30019,1939,6.46
20181122,31335,28817,2518,8.74
20181123,31109,28416,2693,9.48
20181124,28177,24811,3366,13.57
20181125,27898,24821,3077,12.4
20181126,30800,28884,1916,6.63
20181127,30846,29017,1829,6.3
20181128,30859,28956,1903,6.57
20181129,30731,28691,2040,7.11
20181130,30745,28562,2183,7.64
20181201,28312,25636,2676,10.44
20181202,27433,24981,2452,9.82
20181203,30857,28963,1894,6.54
20181204,31720,29868,1852,6.2
20181205,31347,29406,1941,6.6
20181206,31885,30019,1866,6.22
20181207,30223,28355,1868,6.59
20181208,27838,25188,2650,10.52
20181209,26694,24038,2656,11.05
20181210,30540,28631,1909,6.67
20181211,30516,28683,1833,6.39
20181212,30171,28236,1935,6.85
20181213,30075,28180,1895,6.72
20181214,30137.4,28184,1953.4,6.93
20181215,27951,25401,2550,10.04
20181216,26687,24544,2143,8.73
20181217,29608,27835,1773,6.37
20181218,29895,28111,1784,6.35
20181219,30177,28371,1806,6.36
20181220,30316,28520,1796,6.3
20181221,30641,28647,1994,6.96
20181222,29051,27178,1873,6.89
20181223,26965,24509,2456,10.02
20181224,30268,27928,2340,8.38
20181225,30545,28585,1960,6.85
20181226,30243,28463,1780,6.25
20181227,29662,27726,1936,6.98
20181228,28906,26844,2062,7.68
20181229,27586,24309,3277,13.48
20181230,25088,23326,1762,7.55
20181231,26505,23399,3106,13.27
20190101,26429,23872,2557,10.71
20190102,30047,28148,1899,6.75
20190103,30343,28452,1891,6.65
20190104,30301,28490,1811,6.36
20190105,27957,26054,1903,7.3
20190106,26950,24617,2333,9.48
20190107,30336,28536,1800,6.31
20190108,30562,28719,1843,6.42
20190109,30595,28641,1954,6.82
20190110,30853,29006,1847,6.37
20190111,30682,28798,1884,6.54
20190112,28402,25905,2497,9.64
20190113,27027,24629,2398,9.74
20190114,30093,28348,1745,6.16
20190115,30731,28887,1844,6.38
20190116,30498,28649,1849,6.45
20190117,30328,28395,1933,6.81
20190118,29691,27756,1935,6.97
20190119,28431,26477,1954,7.38
20190120,27138,24539,2599,10.59
20190121,29654,27739,1915,6.9
20190122,30061,28140,1921,6.83
20190123,29776,27838,1938,6.96
20190124,29735,27863,1872,6.72
20190125,29202,27296,1906,6.98
20190126,27817,25282,2535,10.03
20190127,26506,24414,2092,8.57
20190128,29363,27557,1806,6.55
